Nama_Lokasi_Kecamatan,Nama_Lokasi_,Hari,Tanggal,Total_Positif_PMK,Total_Suspek_Hari_Ini,Total_Suspect_PMK,Total_Sembuh_PMK,Total_Sembuh_Hari_Ini,Total_Mati_PMK
Tulung, Bono,Rabu,6 Juli 2022,,,71,,,
Tulung, Gedongjetis ,Rabu,6 Juli 2022,,,5,,,
Tulung, Sedayu,Rabu,6 Juli 2022,,,28,,,
Tulung, Pucang Miliran,Rabu,6 Juli 2022,,,5,,5,
Tulung, Malangan,Rabu,6 Juli 2022,,,5,,,
Tulung, Mundu,Rabu,6 Juli 2022,,,11,,,
Tulung, Kemiri,Rabu,6 Juli 2022,,,18,,,
Kemalang, Tegalmulyo,Rabu,6 Juli 2022,,,3,,,
Kemalang, Dompol,Rabu,6 Juli 2022,,,7,,,
Kemalang, Tangkil,Rabu,6 Juli 2022,,,3,,3,
Jogonalan, Tambakan,Rabu,6 Juli 2022,,,2,,,
Jogonalan, Rejoso,Rabu,6 Juli 2022,,,9,,,
Jogonalan, Granting,Rabu,6 Juli 2022,,,13,,,
Jogonalan, Dompyongan,Rabu,6 Juli 2022,,,17,,,
Karanganom, Jungkare,Rabu,6 Juli 2022,,,5,,,
Karanganom, Jurangjero,Rabu,6 Juli 2022,,,1,,,
Prambanan, Sengon,Rabu,6 Juli 2022,,,14,,1,
Prambanan, Randusari,Rabu,6 Juli 2022,,,1,,,
Prambanan, Brajan,Rabu,6 Juli 2022,,,12,,,
Prambanan, Kebondalem lor,Rabu,6 Juli 2022,,,5,,,
Prambanan, Kokosan,Rabu,6 Juli 2022,,,5,,,
Prambanan, Joho,Rabu,6 Juli 2022,,,8,,,
Prambanan, Kemudo,Rabu,6 Juli 2022,,,14,,,
Gantiwarno, Karangturi,Rabu,6 Juli 2022,,,6,,,
Gantiwarno, Kragilan,Rabu,6 Juli 2022,,,16,,,
Karangnongko, Jiwan,Rabu,6 Juli 2022,,,3,,2,
Manisrenggo, Tijayan,Rabu,6 Juli 2022,,,1,,,
Manisrenggo, Solodiran,Rabu,6 Juli 2022,,,4,,,
Manisrenggo, Tanjungsari,Rabu,6 Juli 2022,,,4,,,
Manisrenggo, Taskombang,Rabu,6 Juli 2022,,,2,,,
Manisrenggo, Nangsri,Rabu,6 Juli 2022,,,7,,,
Manisrenggo, Barukan,Rabu,6 Juli 2022,,,2,,,
Wonosari, Jelobo,Rabu,6 Juli 2022,,,17,,,
Wedi, Kalitengah,Rabu,6 Juli 2022,,,4,,,
Wedi, Melikan,Rabu,6 Juli 2022,,,8,,,
Wedi, Jiwowetan,Rabu,6 Juli 2022,,,4,,,
Wedi, Kadilanggon,Rabu,6 Juli 2022,,,5,,,
Wedi, Kaligayam,Rabu,6 Juli 2022,,,17,,,
Pedan, Ngaren,Rabu,6 Juli 2022,,,1,,,
Pedan, Beji,Rabu,6 Juli 2022,,,1,,,
Trucuk, Kalikebo,Rabu,6 Juli 2022,,,7,,,
Trucuk, Karangpakel,Rabu,6 Juli 2022,,,2,,,
Trucuk, Sumber,Rabu,6 Juli 2022,,,4,,,
Trucuk, Wanglu,Rabu,6 Juli 2022,,,9,,,
Trucuk, Bero,Rabu,6 Juli 2022,,,4,,,
Trucuk, Mandong,Rabu,6 Juli 2022,,,5,,,
Cawas, Karangasem,Rabu,6 Juli 2022,,,1,,,
Kalikotes, Kalikotes,Rabu,6 Juli 2022,,,2,,,
Kalikotes, Krajan,Rabu,6 Juli 2022,,,16,,,
Karangdowo, Sentono,Rabu,6 Juli 2022,,,1,,,
Ceper, Kujon,Rabu,6 Juli 2022,,,5,,,
Bayat, Wiro,Rabu,6 Juli 2022,,,57,,,
Klaten Tengah, Buntalan,Rabu,6 Juli 2022,,,7,,,
Jatinom, Kayumas ,Kamis,7 Juli 2022,,,1,,,
Jatinom, Bengking ,Kamis,7 Juli 2022,,3,35,,,
Jatinom, Randulanang ,Kamis,7 Juli 2022,,,6,,,
Jatinom, Beteng ,Kamis,7 Juli 2022,,4,11,,,
Jatinom, Glagah,Kamis,7 Juli 2022,,4,25,,,
Jatinom, Tibayan,Kamis,7 Juli 2022,,,19,,,
Jatinom, Bandungan,Kamis,7 Juli 2022,,,46,,,
Jatinom, Temuireng,Kamis,7 Juli 2022,,,1,,,
Jatinom, Pandeyan,Kamis,7 Juli 2022,,,2,,,
Jatinom, Socokangsi,Kamis,7 Juli 2022,,10,62,,5,
Jatinom, Puluhan,Kamis,7 Juli 2022,,,3,,,
Jatinom, Jemawan,Kamis,7 Juli 2022,,,15,,,
Jatinom, Mranggen,Kamis,7 Juli 2022,,,6,,,
Tulung, Tulung ,Kamis,7 Juli 2022,,,28,,8,
Tulung, Bono,Kamis,7 Juli 2022,,,71,,,
Tulung, Gedongjetis ,Kamis,7 Juli 2022,,,5,,,
Tulung, Sedayu,Kamis,7 Juli 2022,,,28,,,
Tulung, Malangan,Kamis,7 Juli 2022,,,5,,,
Tulung, Mundu,Kamis,7 Juli 2022,,,11,,,
Tulung, Kemiri,Kamis,7 Juli 2022,,,18,,,
Prambanan, Sengon,Kamis,7 Juli 2022,,,13,,,
Prambanan, Randusari,Kamis,7 Juli 2022,,,1,,,
Prambanan, Brajan,Kamis,7 Juli 2022,,,12,,,
Prambanan, Kebondalem lor,Kamis,7 Juli 2022,,,5,,,
Prambanan, Kokosan,Kamis,7 Juli 2022,,,5,,,
Prambanan, Joho,Kamis,7 Juli 2022,,,8,,,
Prambanan, Kemudo,Kamis,7 Juli 2022,,,14,,3,
Bayat, Wiro,Kamis,7 Juli 2022,,,57,,,
Jogonalan, Tambakan,Kamis,7 Juli 2022,,,2,,,
Jogonalan, Rejoso,Kamis,7 Juli 2022,,,9,,,
Jogonalan, Granting,Kamis,7 Juli 2022,,,13,,,
Jogonalan, Dompyongan,Kamis,7 Juli 2022,,,17,,,
Wedi, Kalitengah,Kamis,7 Juli 2022,,,4,,,
Wedi, Melikan,Kamis,7 Juli 2022,,,8,,,
Wedi, Jiwowetan,Kamis,7 Juli 2022,,,4,,,
Wedi, Kadilanggon,Kamis,7 Juli 2022,,,5,,,
Wedi, Kaligayam,Kamis,7 Juli 2022,,,17,,,
Trucuk, Kalikebo,Kamis,7 Juli 2022,,,7,,,
Trucuk, Karangpakel,Kamis,7 Juli 2022,,,2,,,
Trucuk, Sumber,Kamis,7 Juli 2022,,,4,,,
Trucuk, Wanglu,Kamis,7 Juli 2022,,,9,,,
Trucuk, Bero,Kamis,7 Juli 2022,,,4,,,
Trucuk, Mandong,Kamis,7 Juli 2022,,,5,,,
Gantiwarno, Karangturi,Kamis,7 Juli 2022,,,6,,,
Gantiwarno, Kragilan,Kamis,7 Juli 2022,,,16,,,
Manisrenggo, Tijayan,Kamis,7 Juli 2022,,,1,,,
Manisrenggo, Solodiran,Kamis,7 Juli 2022,,,4,,,
Manisrenggo, Tanjungsari,Kamis,7 Juli 2022,,,4,,,
Manisrenggo, Taskombang,Kamis,7 Juli 2022,,,2,,,
Manisrenggo, Nangsri,Kamis,7 Juli 2022,,,7,,,
Manisrenggo, Barukan,Kamis,7 Juli 2022,,,2,,,
Kalikotes, Kalikotes,Kamis,7 Juli 2022,,,2,,,
Kalikotes, Krajan,Kamis,7 Juli 2022,,,16,,,
Wonosari, Jelobo,Kamis,7 Juli 2022,,,17,,,
Ngawen, Tempursari,Kamis,7 Juli 2022,,,15,,,
Ngawen, Manjungan,Kamis,7 Juli 2022,,,1,,,
Kemalang, Tegalmulyo,Kamis,7 Juli 2022,,,3,,,
Kemalang, Dompol,Kamis,7 Juli 2022,,,7,,,
Klaten Tengah, Buntalan,Kamis,7 Juli 2022,,,7,,,
Karanganom, Jungkare,Kamis,7 Juli 2022,,4,5,,,
Karanganom, Jurangjero,Kamis,7 Juli 2022,,,1,,,
Ceper, Kujon,Kamis,7 Juli 2022,,,5,,,
Pedan, Ngaren,Kamis,7 Juli 2022,,,1,,,
Pedan, Beji,Kamis,7 Juli 2022,,,1,,,
Karangnongko, Jiwan,Kamis,7 Juli 2022,,,1,,,
Cawas, Karangasem,Kamis,7 Juli 2022,,,1,,,
Karangdowo, Sentono,Kamis,7 Juli 2022,,,1,,,
Jatinom, Kayumas ,Jumat,8 Juli 2022,,,1,,,
Jatinom, Bengking ,Jumat,8 Juli 2022,,,38,,,
Jatinom, Randulanang ,Jumat,8 Juli 2022,,,6,,,
Jatinom, Beteng ,Jumat,8 Juli 2022,,,15,,8,
Jatinom, Glagah,Jumat,8 Juli 2022,,,29,,,
Jatinom, Tibayan,Jumat,8 Juli 2022,,,19,,,
Jatinom, Bandungan,Jumat,8 Juli 2022,,,46,,7,
Jatinom, Temuireng,Jumat,8 Juli 2022,,,1,,,
Jatinom, Pandeyan,Jumat,8 Juli 2022,,,2,,,
Jatinom, Socokangsi,Jumat,8 Juli 2022,,,67,,1,
Jatinom, Puluhan,Jumat,8 Juli 2022,,,3,,,
Jatinom, Jemawan,Jumat,8 Juli 2022,,,15,,13,
Jatinom, Mranggen,Jumat,8 Juli 2022,,,6,,,
Tulung, Tulung ,Jumat,8 Juli 2022,,,20,,,
Tulung, Bono,Jumat,8 Juli 2022,,,71,,,
Tulung, Gedongjetis ,Jumat,8 Juli 2022,,,5,,,
Tulung, Sedayu,Jumat,8 Juli 2022,,,28,,,
Tulung, Malangan,Jumat,8 Juli 2022,,,5,,,
Tulung, Mundu,Jumat,8 Juli 2022,,,11,,,
Tulung, Kemiri,Jumat,8 Juli 2022,,,18,,,
Prambanan, Sengon,Jumat,8 Juli 2022,,,13,,,
Prambanan, Randusari,Jumat,8 Juli 2022,,1,1,,,
Prambanan, Brajan,Jumat,8 Juli 2022,,1,12,,,
Prambanan, Kebondalem lor,Jumat,8 Juli 2022,,1,5,,,
Prambanan, Kokosan,Jumat,8 Juli 2022,,,5,,,
Prambanan, Joho,Jumat,8 Juli 2022,,3,8,,,
Prambanan, Kemudo,Jumat,8 Juli 2022,,,11,,,
Bayat, Wiro,Jumat,8 Juli 2022,,,57,,,
Jogonalan, Tambakan,Jumat,8 Juli 2022,,,2,,,
Jogonalan, Rejoso,Jumat,8 Juli 2022,,,9,,,
Jogonalan, Wonoboyo,Jumat,8 Juli 2022,,1,,,,
Jogonalan, Granting,Jumat,8 Juli 2022,,,13,,,
Jogonalan, Dompyongan,Jumat,8 Juli 2022,,1,17,,,
Wedi, Kalitengah,Jumat,8 Juli 2022,,,4,,,
Wedi, Melikan,Jumat,8 Juli 2022,,,8,,,
Wedi, Jiwowetan,Jumat,8 Juli 2022,,,4,,,
Wedi, Kadilanggon,Jumat,8 Juli 2022,,,5,,,
Wedi, Kaligayam,Jumat,8 Juli 2022,,,17,,,
Trucuk, Kalikebo,Jumat,8 Juli 2022,,,7,,,
Trucuk, Karangpakel,Jumat,8 Juli 2022,,,2,,,
Trucuk, Sumber,Jumat,8 Juli 2022,,,4,,,
Trucuk, Wanglu,Jumat,8 Juli 2022,,,9,,,
Trucuk, Bero,Jumat,8 Juli 2022,,,4,,,
Trucuk, Mandong,Jumat,8 Juli 2022,,,5,,,
Gantiwarno, Karangturi,Jumat,8 Juli 2022,,,6,,,
Gantiwarno, Kragilan,Jumat,8 Juli 2022,,,16,,,
Manisrenggo, Tijayan,Jumat,8 Juli 2022,,,1,,,
Manisrenggo, Solodiran,Jumat,8 Juli 2022,,,4,,,
Manisrenggo, Tanjungsari,Jumat,8 Juli 2022,,,4,,,
Manisrenggo, Taskombang,Jumat,8 Juli 2022,,,2,,,
Manisrenggo, Nangsri,Jumat,8 Juli 2022,,3,7,,,
Manisrenggo, Barukan,Jumat,8 Juli 2022,,,2,,,
Kalikotes, Kalikotes,Jumat,8 Juli 2022,,,2,,,
Kalikotes, Krajan,Jumat,8 Juli 2022,,,16,,,
Wonosari, Jelobo,Jumat,8 Juli 2022,,,17,,,
Ngawen, Tempursari,Jumat,8 Juli 2022,,,15,,,
Ngawen, Manjungan,Jumat,8 Juli 2022,,,1,,,
Kemalang, Tegalmulyo,Jumat,8 Juli 2022,,,3,,,
Kemalang, Dompol,Jumat,8 Juli 2022,,,7,,,
Klaten Tengah, Buntalan,Jumat,8 Juli 2022,,,7,,,
Karanganom, Jungkare,Jumat,8 Juli 2022,,,9,,,
Karanganom, Jurangjero,Jumat,8 Juli 2022,,,1,,,
Ceper, Kujon,Jumat,8 Juli 2022,,,5,,,
Pedan, Ngaren,Jumat,8 Juli 2022,,,1,,,
Pedan, Beji,Jumat,8 Juli 2022,,,1,,,
Karangnongko, Jiwan,Jumat,8 Juli 2022,,,1,,,
Cawas, Karangasem,Jumat,8 Juli 2022,,,1,,,
Karangdowo, Sentono,Jumat,8 Juli 2022,,,1,,,
Jatinom, Kayumas ,Sabtu,9 Juli 2022,,,1,,,
Jatinom, Bengking ,Sabtu,9 Juli 2022,,,38,,,
Jatinom, Randulanang ,Sabtu,9 Juli 2022,,,6,,,
Jatinom, Beteng ,Sabtu,9 Juli 2022,,,7,,,
Jatinom, Glagah,Sabtu,9 Juli 2022,,,29,,,
Jatinom, Tibayan,Sabtu,9 Juli 2022,,,19,,,
Jatinom, Bandungan,Sabtu,9 Juli 2022,,,39,,,
Jatinom, Temuireng,Sabtu,9 Juli 2022,,,1,,,
Jatinom, Pandeyan,Sabtu,9 Juli 2022,,,2,,,
Jatinom, Socokangsi,Sabtu,9 Juli 2022,,,66,,,
Jatinom, Puluhan,Sabtu,9 Juli 2022,,,3,,,
Jatinom, Jemawan,Sabtu,9 Juli 2022,,,2,,,
Jatinom, Mranggen,Sabtu,9 Juli 2022,,,6,,,
Tulung, Tulung ,Sabtu,9 Juli 2022,,,20,,,
Tulung, Bono,Sabtu,9 Juli 2022,,,71,,,
Tulung, Gedongjetis ,Sabtu,9 Juli 2022,,,5,,,
Tulung, Sedayu,Sabtu,9 Juli 2022,,,28,,,
Tulung, Malangan,Sabtu,9 Juli 2022,,,5,,,
Tulung, Mundu,Sabtu,9 Juli 2022,,,11,,,
Tulung, Kemiri,Sabtu,9 Juli 2022,,,18,,,
Prambanan, Sengon,Sabtu,9 Juli 2022,,,13,,,
Prambanan, Randusari,Sabtu,9 Juli 2022,,,2,,,
Prambanan, Brajan,Sabtu,9 Juli 2022,,,13,,,
Prambanan, Kebondalem lor,Sabtu,9 Juli 2022,,,6,,,
Prambanan, Kokosan,Sabtu,9 Juli 2022,,,5,,,
Prambanan, Joho,Sabtu,9 Juli 2022,,,11,,,
Prambanan, Kemudo,Sabtu,9 Juli 2022,,,11,,,
Bayat, Wiro,Sabtu,9 Juli 2022,,,57,,,
Jogonalan, Tambakan,Sabtu,9 Juli 2022,,,2,,,
Jogonalan, Rejoso,Sabtu,9 Juli 2022,,,9,,,
Jogonalan, Wonoboyo,Sabtu,9 Juli 2022,,,1,,,
Jogonalan, Granting,Sabtu,9 Juli 2022,,,13,,,
Jogonalan, Dompyongan,Sabtu,9 Juli 2022,,,18,,,
Wedi, Kalitengah,Sabtu,9 Juli 2022,,,4,,,
Wedi, Melikan,Sabtu,9 Juli 2022,,,8,,,
Wedi, Jiwowetan,Sabtu,9 Juli 2022,,,4,,,
Wedi, Kadilanggon,Sabtu,9 Juli 2022,,,5,,,
Wedi, Kaligayam,Sabtu,9 Juli 2022,,,17,,,
Trucuk, Kalikebo,Sabtu,9 Juli 2022,,,7,,,
Trucuk, Karangpakel,Sabtu,9 Juli 2022,,,2,,,
Trucuk, Sumber,Sabtu,9 Juli 2022,,,4,,,
Trucuk, Wanglu,Sabtu,9 Juli 2022,,,9,,,
Trucuk, Bero,Sabtu,9 Juli 2022,,,4,,,
Trucuk, Mandong,Sabtu,9 Juli 2022,,,5,,,
Gantiwarno, Karangturi,Sabtu,9 Juli 2022,,,6,,,
Gantiwarno, Kragilan,Sabtu,9 Juli 2022,,,16,,,
Manisrenggo, Tijayan,Sabtu,9 Juli 2022,,,1,,,
Manisrenggo, Solodiran,Sabtu,9 Juli 2022,,,4,,,
Manisrenggo, Tanjungsari,Sabtu,9 Juli 2022,,,4,,,
Manisrenggo, Taskombang,Sabtu,9 Juli 2022,,,2,,,
Manisrenggo, Nangsri,Sabtu,9 Juli 2022,,,10,,,
Manisrenggo, Barukan,Sabtu,9 Juli 2022,,,2,,,
Kalikotes, Kalikotes,Sabtu,9 Juli 2022,,,2,,,
Kalikotes, Krajan,Sabtu,9 Juli 2022,,,16,,,
Wonosari, Jelobo,Sabtu,9 Juli 2022,,,17,,,
Ngawen, Tempursari,Sabtu,9 Juli 2022,,,15,,,
Ngawen, Manjungan,Sabtu,9 Juli 2022,,,1,,,
Kemalang, Tegalmulyo,Sabtu,9 Juli 2022,,,3,,,
Kemalang, Dompol,Sabtu,9 Juli 2022,,,7,,,
Klaten Tengah, Buntalan,Sabtu,9 Juli 2022,,,7,,,
Karanganom, Jungkare,Sabtu,9 Juli 2022,,,9,,,
Karanganom, Jurangjero,Sabtu,9 Juli 2022,,,1,,,
Ceper, Kujon,Sabtu,9 Juli 2022,,,5,,,
Pedan, Ngaren,Sabtu,9 Juli 2022,,,1,,,
Pedan, Beji,Sabtu,9 Juli 2022,,,1,,,
Karangnongko, Jiwan,Sabtu,9 Juli 2022,,,1,,,
Cawas, Karangasem,Sabtu,9 Juli 2022,,,1,,,
Karangdowo, Sentono,Sabtu,9 Juli 2022,,,1,,,
Jatinom, Kayumas ,Senin,11 Juli 2022,,,1,,,
Jatinom, Bengking ,Senin,11 Juli 2022,,,38,,,
Jatinom, Randulanang ,Senin,11 Juli 2022,,,1,,,
Jatinom, Beteng ,Senin,11 Juli 2022,,,7,,,
Jatinom, Glagah,Senin,11 Juli 2022,,,29,,,
Jatinom, Tibayan,Senin,11 Juli 2022,,,6,,,
Jatinom, Bandungan,Senin,11 Juli 2022,,,39,,,
Jatinom, Temuireng,Senin,11 Juli 2022,,,1,,,
Jatinom, Pandeyan,Senin,11 Juli 2022,,,2,,,
Jatinom, Socokangsi,Senin,11 Juli 2022,,,59,,,
Jatinom, Puluhan,Senin,11 Juli 2022,,,3,,,
Jatinom, Jemawan,Senin,11 Juli 2022,,,2,,,
Jatinom, Mranggen,Senin,11 Juli 2022,,,2,,,
Tulung, Tulung ,Senin,11 Juli 2022,,,20,,,
Tulung, Bono,Senin,11 Juli 2022,,,6,,,
Tulung, Gedongjetis ,Senin,11 Juli 2022,,,5,,,
Tulung, Majegan,Senin,11 Juli 2022,,3,,,,
Tulung, Sedayu,Senin,11 Juli 2022,,,14,,,
Tulung, Mundu,Senin,11 Juli 2022,,,3,,,
Tulung, Kemiri,Senin,11 Juli 2022,,,14,,5,
Prambanan, Sengon,Senin,11 Juli 2022,,,13,,,
Prambanan, Randusari,Senin,11 Juli 2022,,,2,,,
Prambanan, Brajan,Senin,11 Juli 2022,,,13,,2,
Prambanan, Kebondalem lor,Senin,11 Juli 2022,,,6,,,
Prambanan, Kokosan,Senin,11 Juli 2022,,,5,,,
Prambanan, Joho,Senin,11 Juli 2022,,,11,,,
Prambanan, Kemudo,Senin,11 Juli 2022,,,11,,1,
Bayat, Wiro,Senin,11 Juli 2022,,,57,,,
Jogonalan, Tambakan,Senin,11 Juli 2022,,,2,,,
Jogonalan, Rejoso,Senin,11 Juli 2022,,,9,,,
Jogonalan, Wonoboyo,Senin,11 Juli 2022,,25,1,,,
Jogonalan, Somopuro,Senin,11 Juli 2022,,1,,,,
Jogonalan, Granting,Senin,11 Juli 2022,,,13,,,
Jogonalan, Dompyongan,Senin,11 Juli 2022,,,18,,,
Wedi, Kalitengah,Senin,11 Juli 2022,,,4,,,
Wedi, Melikan,Senin,11 Juli 2022,,,8,,6,
Wedi, Jiwowetan,Senin,11 Juli 2022,,,4,,,
Wedi, Kadilanggon,Senin,11 Juli 2022,,,5,,5,
Wedi, Kaligayam,Senin,11 Juli 2022,,3,17,,1,
Trucuk, Kalikebo,Senin,11 Juli 2022,,,7,,,
Trucuk, Karangpakel,Senin,11 Juli 2022,,,2,,,
Trucuk, Sumber,Senin,11 Juli 2022,,,4,,,
Trucuk, Wanglu,Senin,11 Juli 2022,,,9,,,
Trucuk, Bero,Senin,11 Juli 2022,,,4,,,
Trucuk, Mandong,Senin,11 Juli 2022,,,5,,,
Gantiwarno, Karangturi,Senin,11 Juli 2022,,,6,,,
Gantiwarno, Kragilan,Senin,11 Juli 2022,,,16,,,
Manisrenggo, Tijayan,Senin,11 Juli 2022,,,1,,,
Manisrenggo, Solodiran,Senin,11 Juli 2022,,,4,,,
Manisrenggo, Tanjungsari,Senin,11 Juli 2022,,,4,,,
Manisrenggo, Taskombang,Senin,11 Juli 2022,,,2,,,
Manisrenggo, Nangsri,Senin,11 Juli 2022,,,10,,,
Manisrenggo, Barukan,Senin,11 Juli 2022,,,2,,,
Kalikotes, Kalikotes,Senin,11 Juli 2022,,,2,,2,
Kalikotes, Krajan,Senin,11 Juli 2022,,,16,,16,
Wonosari, Jelobo,Senin,11 Juli 2022,,,17,,,
Ngawen, Tempursari,Senin,11 Juli 2022,,,15,,,
Ngawen, Manjungan,Senin,11 Juli 2022,,,1,,,
Kemalang, Tegalmulyo,Senin,11 Juli 2022,,,3,,,
Kemalang, Dompol,Senin,11 Juli 2022,,,7,,,
Klaten Tengah, Buntalan,Senin,11 Juli 2022,,,7,,,
Karanganom, Jungkare,Senin,11 Juli 2022,,,9,,,
Karanganom, Jurangjero,Senin,11 Juli 2022,,,1,,,
Ceper, Kujon,Senin,11 Juli 2022,,,5,,,
Klaten Utara, Karanganom,Senin,11 Juli 2022,,3,,,,
Pedan, Ngaren,Senin,11 Juli 2022,,1,1,,,
Pedan, Beji,Senin,11 Juli 2022,,1,1,,,
Karangnongko, Jiwan,Senin,11 Juli 2022,,1,1,,,
Cawas, Karangasem,Senin,11 Juli 2022,,1,1,,,
Karangdowo, Sentono,Senin,11 Juli 2022,,1,1,,,
Jatinom, Kayumas ,Selasa,12 Juli 2022,,,1,,,
Jatinom, Bengking ,Selasa,12 Juli 2022,,7,38,,,
Jatinom, Randulanang ,Selasa,12 Juli 2022,,,1,,,
Jatinom, Beteng ,Selasa,12 Juli 2022,,,7,,,
Jatinom, Glagah,Selasa,12 Juli 2022,,11,29,,,
Jatinom, Tibayan,Selasa,12 Juli 2022,,,6,,,
Jatinom, Bandungan,Selasa,12 Juli 2022,,,39,,,
Jatinom, Temuireng,Selasa,12 Juli 2022,,,1,,,
Jatinom, Pandeyan,Selasa,12 Juli 2022,,,2,,,
Jatinom, Socokangsi,Selasa,12 Juli 2022,,9,59,,,
Jatinom, Puluhan,Selasa,12 Juli 2022,,2,3,,,
Jatinom, Jemawan,Selasa,12 Juli 2022,,,2,,,
Jatinom, Mranggen,Selasa,12 Juli 2022,,,2,,,
Tulung, Tulung ,Selasa,12 Juli 2022,,8,20,,,
Tulung, Bono,Selasa,12 Juli 2022,,,6,,,
Tulung, Gedongjetis ,Selasa,12 Juli 2022,,,5,,,
Tulung, Majegan,Selasa,12 Juli 2022,,,3,,,
Tulung, Sedayu,Selasa,12 Juli 2022,,,14,,,
Tulung, Mundu,Selasa,12 Juli 2022,,,3,,,
Tulung, Kemiri,Selasa,12 Juli 2022,,,9,,,
Prambanan, Sengon,Selasa,12 Juli 2022,,,13,,4,
Prambanan, Randusari,Selasa,12 Juli 2022,,,2,,,
Prambanan, Brajan,Selasa,12 Juli 2022,,,11,,7,
Prambanan, Kebondalem lor,Selasa,12 Juli 2022,,,6,,,
Prambanan, Kokosan,Selasa,12 Juli 2022,,,5,,2,
Prambanan, Joho,Selasa,12 Juli 2022,,,11,,,
Prambanan, Kemudo,Selasa,12 Juli 2022,,,10,,2,
Bayat, Wiro,Selasa,12 Juli 2022,,,57,,,
Jogonalan, Tambakan,Selasa,12 Juli 2022,,,2,,,
Jogonalan, Rejoso,Selasa,12 Juli 2022,,,9,,,
Jogonalan, Wonoboyo,Selasa,12 Juli 2022,,,26,,,
Jogonalan, Somopuro,Selasa,12 Juli 2022,,,1,,,
Jogonalan, Granting,Selasa,12 Juli 2022,,,13,,,
Jogonalan, Dompyongan,Selasa,12 Juli 2022,,,18,,,
Wedi, Kalitengah,Selasa,12 Juli 2022,,,4,,,
Wedi, Melikan,Selasa,12 Juli 2022,,,2,,,
Wedi, Jiwowetan,Selasa,12 Juli 2022,,,4,,,
Wedi, Kaligayam,Selasa,12 Juli 2022,,,19,,,
Trucuk, Kalikebo,Selasa,12 Juli 2022,,,7,,,
Trucuk, Karangpakel,Selasa,12 Juli 2022,,,2,,2,
Trucuk, Sumber,Selasa,12 Juli 2022,,,4,,,
Trucuk, Wanglu,Selasa,12 Juli 2022,,,9,,,
Trucuk, Bero,Selasa,12 Juli 2022,,,4,,,
Trucuk, Mandong,Selasa,12 Juli 2022,,,5,,,
Gantiwarno, Karangturi,Selasa,12 Juli 2022,,2,6,,,
Gantiwarno, Kragilan,Selasa,12 Juli 2022,,,16,,,
Manisrenggo, Tijayan,Selasa,12 Juli 2022,,,1,,,
Manisrenggo, Solodiran,Selasa,12 Juli 2022,,,4,,,
Manisrenggo, Tanjungsari,Selasa,12 Juli 2022,,,4,,,
Manisrenggo, Taskombang,Selasa,12 Juli 2022,,,2,,,
Manisrenggo, Nangsri,Selasa,12 Juli 2022,,,10,,,
Manisrenggo, Barukan,Selasa,12 Juli 2022,,,2,,,
Wonosari, Jelobo,Selasa,12 Juli 2022,,,17,,17,
Ngawen, Tempursari,Selasa,12 Juli 2022,,,15,,,
Ngawen, Manjungan,Selasa,12 Juli 2022,,,1,,,
Kemalang, Tegalmulyo,Selasa,12 Juli 2022,,,3,,,
Kemalang, Dompol,Selasa,12 Juli 2022,,,7,,,
Klaten Tengah, Buntalan,Selasa,12 Juli 2022,,,7,,,
Karanganom, Jungkare,Selasa,12 Juli 2022,,,9,,,
Karanganom, Jurangjero,Selasa,12 Juli 2022,,,1,,,
Ceper, Kujon,Selasa,12 Juli 2022,,,5,,5,
Klaten Utara, Karanganom,Selasa,12 Juli 2022,,,3,,,
Pedan, Ngaren,Selasa,12 Juli 2022,,,1,,,
Pedan, Beji,Selasa,12 Juli 2022,,,1,,,
Karangnongko, Jiwan,Selasa,12 Juli 2022,,,1,,,
Cawas, Karangasem,Selasa,12 Juli 2022,,,1,,1,
Cawas, Tugu,Selasa,12 Juli 2022,,1,,,,
Karangdowo, Sentono,Selasa,12 Juli 2022,,,1,,1,
Jatinom, Kayumas ,Rabu,13 Juli 2022,,,1,,,
Jatinom, Bengking ,Rabu,13 Juli 2022,,,45,,,
Jatinom, Randulanang ,Rabu,13 Juli 2022,,,1,,,
Jatinom, Beteng ,Rabu,13 Juli 2022,,,7,,,
Jatinom, Glagah,Rabu,13 Juli 2022,,,40,,,
Jatinom, Tibayan,Rabu,13 Juli 2022,,,6,,,
Jatinom, Bandungan,Rabu,13 Juli 2022,,,39,,,
Jatinom, Temuireng,Rabu,13 Juli 2022,,,1,,,
Jatinom, Pandeyan,Rabu,13 Juli 2022,,,2,,,
Jatinom, Socokangsi,Rabu,13 Juli 2022,,,68,,,
Jatinom, Puluhan,Rabu,13 Juli 2022,,,5,,,
Jatinom, Jemawan,Rabu,13 Juli 2022,,,2,,,
Jatinom, Mranggen,Rabu,13 Juli 2022,,,2,,,
Tulung, Tulung ,Rabu,13 Juli 2022,,,28,,,
Tulung, Bono,Rabu,13 Juli 2022,,,6,,,
Tulung, Gedongjetis ,Rabu,13 Juli 2022,,,5,,1,
Tulung, Majegan,Rabu,13 Juli 2022,,,3,,,
Tulung, Sedayu,Rabu,13 Juli 2022,,,14,,,
Tulung, Mundu,Rabu,13 Juli 2022,,,3,,,
Tulung, Kemiri,Rabu,13 Juli 2022,,,9,,,
Prambanan, Sengon,Rabu,13 Juli 2022,,,9,,,
Prambanan, Randusari,Rabu,13 Juli 2022,,,2,,,
